AgentID,X,Y,Type,Status,PopDensity,TempC,Rain_mm
aa75d056-670e-4dd2-8d60-c830d922e128,38.325657,8.671333,ADULT,true,2.01,25.00,0.0000
3077c82a-4208-41d2-b2c3-611a10bcb933,38.307607,8.630653,ADULT,true,2.43,25.00,0.0000
9cc10684-3df0-46e7-a3bc-701a54773e8f,38.318749,8.576346,ADULT,true,1.24,25.00,0.0000
984e135f-cbc2-42b9-b470-f4fab78240e1,38.291121,8.675444,ADULT,true,2.90,25.00,0.0000
d2646e3a-4119-4415-8584-11c47945c484,38.363494,8.640293,ADULT,true,1.52,25.00,0.0000
f3baec60-2885-44aa-9091-95c21e1fd410,38.360156,8.668351,ADULT,true,1.65,25.00,0.0000
628beb86-12aa-4ad4-862f-00b550fc6e96,38.370792,8.642232,ADULT,true,1.74,25.00,0.0000
f529c6cf-03a3-4ecb-b62d-24c1f14a08db,38.328332,8.608252,ADULT,true,3.27,25.00,0.0000
e244b5ef-fa6e-4d9b-a12e-713c2587e707,38.328589,8.583609,ADULT,true,2.21,25.00,0.0000
f8a3386b-e627-4ff3-9ba4-c66b44e0a977,38.350518,8.582632,ADULT,true,8.73,25.00,0.0000
f7a66ab8-05fa-4689-80bf-7c774351ba4d,38.338523,8.656842,ADULT,true,3.96,25.00,0.0000
2cc940ab-c890-4c07-be0a-3ee84f5bd168,38.358269,8.612527,ADULT,true,2.98,25.00,0.0000
8393b97b-f726-4252-a5b2-88554dac3a38,38.302080,8.660890,ADULT,true,2.83,25.00,0.0000
55877acd-fccd-4507-a1fd-bc385e5ad891,38.327760,8.601086,ADULT,true,3.04,25.00,0.0000
9f677323-e75c-474c-9c32-c68c7f852ec4,38.365803,8.579476,ADULT,true,3.79,25.00,0.0000
84d2b1f4-7b3e-41bb-b22a-f5a22156a8e3,38.330318,8.589556,ADULT,true,2.29,25.00,0.0000
b21079ba-a83b-45b5-96d6-06cc3f8b1462,38.354890,8.577557,ADULT,true,11.85,25.00,0.0000
5077fc3c-bdea-4c14-bace-67df0f5ed78e,38.369620,8.655599,ADULT,true,1.25,25.00,0.0000
ddb5615a-a2cf-4568-8d68-ee61e697ca25,38.340604,8.669887,ADULT,true,7.21,25.00,0.0000
0a0c7d0b-8b13-4eab-af00-31f469927628,38.309911,8.583343,ADULT,true,0.87,25.00,0.0000
736896e3-d1b1-4307-aa27-c057cff1e398,38.374268,8.582147,ADULT,true,4.27,25.00,0.0000
4270c987-6ae7-416c-9c66-6bd2d50fbadb,38.297543,8.605806,ADULT,true,2.05,25.00,0.0000
