AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
fec9ecec-d8ca-4872-b3ac-392b1dd663c0,Mosquitoes,LivingAgent,38.357857,8.586459,true,774,ADULT,0.523,false,2269.0000,0.0000,2.31,0.2944,20.04,3,0
7c43fe1d-bb94-4020-800a-5bd7fcd29e77,Mosquitoes,LivingAgent,38.358447,8.672839,true,647,ADULT,0.865,false,2616.0000,1.0000,1.86,0.3965,21.54,2,0
816986a0-3a57-4839-a553-29a3665fd6c9,Mosquitoes,LivingAgent,38.311437,8.674151,true,725,ADULT,0.917,true,2456.0000,0.0000,2.45,0.4101,21.42,2,0
7f56aff3-f036-436c-bc3f-549ec8bf3f82,Mosquitoes,LivingAgent,38.347171,8.612574,true,400,ADULT,0.613,false,2549.0000,1.0000,14.50,0.2944,20.04,2,0
57e95499-2599-4223-8360-7fb21ba42249,Mosquitoes,LivingAgent,38.294696,8.600458,true,477,ADULT,0.653,false,2528.0000,0.0000,1.67,0.3272,21.02,4,0
5372cdd9-b97d-4466-9abc-50ca0bdf184e,Mosquitoes,LivingAgent,38.324813,8.578288,true,707,ADULT,0.677,false,2481.0000,0.0000,1.63,0.3272,21.02,8,0
30aa0117-e18e-4777-9ebe-acfd4c37a57e,Mosquitoes,LivingAgent,38.359320,8.670809,true,580,ADULT,0.648,false,2614.0000,2.0000,1.69,0.3965,21.24,3,0
48433012-85d7-4c9d-83c0-3e3cd3319ac5,Mosquitoes,LivingAgent,38.282221,8.614285,true,792,ADULT,0.876,false,2556.0000,0.0000,3.36,0.3273,20.72,5,0
77c656b9-a4bf-40eb-b0d0-353b839c1e9e,Mosquitoes,LivingAgent,38.331522,8.581511,true,808,ADULT,0.599,true,2510.0000,1.0000,2.60,0.2944,19.76,4,0
9a5c8c9f-030d-4781-824a-2c5f81688d39,Mosquitoes,LivingAgent,38.379403,8.636605,true,555,ADULT,0.852,false,2646.0000,2.0000,2.19,0.3965,21.24,5,0
