TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m,Day
200,9fb9e7b0-50cf-4626-a5da-c697e73fdad2,Mosquitoes,LivingAgent,9.583534,41.855482,1,1009,ADULT,0.303,0,0,0,0.0,0,0,28,2022.5529,0.5183,0.55,0.2683,24.55,2.0833333333333335
400,d3c32606-c6a8-41ac-bf53-e584b77aac84,Mosquitoes,LivingAgent,9.599544,41.858512,1,387,ADULT,0.483,0,0,0,0.0,0,5,45,1777.0793,0.8735,0.81,0.0,27.73,4.166666666666667
500,5d5bc6df-0f6b-4987-a9f5-ee11506e714a,Mosquitoes,LivingAgent,9.59458,41.843277,1,905,LARVA,0.699,0,0,0,0.0,0,0,0,2286.4892,0.6158,0.65,0.0,31.13,5.208333333333333
300,b8179905-eb22-403b-8cbe-e64e596d2796,Mosquitoes,LivingAgent,9.629043,41.875443,1,159,LARVA,0.876,0,0,0,0.0,0,0,0,2364.8584,0.344,0.39,0.0,25.75,3.125
400,10d3a568-1867-4e99-ba09-e9f71dfd4d65,Mosquitoes,LivingAgent,9.578842,41.834176,1,904,ADULT,0.614,0,0,0,0.0,0,0,29,1654.2227,0.2342,0.27,0.0,28.96,4.166666666666667
200,77179520-844c-4ebb-8a6d-fa500b284f5e,Mosquitoes,LivingAgent,9.602675,41.85559,1,46,LARVA,0.847,0,0,0,0.0,0,0,0,1956.2539,0.9279,0.85,0.2595,24.51,2.0833333333333335
100,ebe0bace-6909-4ca1-8441-dd34f9c7a2c1,Mosquitoes,LivingAgent,9.610933,41.86829,1,125,LARVA,0.703,0,0,0,0.0,0,0,0,1685.4581,0.7317,0.64,0.0001,29.54,1.0416666666666667
100,da3b35f9-abb3-4723-b26d-1bdff46de89b,Mosquitoes,LivingAgent,9.613112,41.839966,1,942,ADULT,0.8,0,0,0,0.0,0,0,44,2186.7767,0.5795,0.61,0.0,23.09,1.0416666666666667
100,5288d86e-3f67-4da7-a591-7067b1b9e96d,Mosquitoes,LivingAgent,9.577437,41.860283,1,312,LARVA,0.701,0,0,0,0.0,0,0,0,2252.0456,0.397,0.43,0.0,22.93,1.0416666666666667
500,27590d83-4ca0-4935-adf2-d9695038ea30,Mosquitoes,LivingAgent,9.605933,41.887812,1,241,ADULT,0.657,0,0,0,0.0,0,0,0,2240.3825,0.3197,0.38,0.0,28.69,5.208333333333333
